Task	Runtime ms	Switches	Average delay ms	Maximum delay ms	Maximum delay at	n of processes	
a.out:2834	1353.508	5	0.023	max:    0.080 ms	max at:    541.625250 s	t1	
a.out:2844	1341.938	7	0.010	max:    0.020 ms	max at:    543.489016 s	t1	
a.out:2853	1362.576	3	0.008	max:    0.013 ms	max at:    544.984720 s	t1	
a.out:2863	1366.319	6	0.014	max:    0.038 ms	max at:    546.721640 s	t1	
a.out:2872	1292.413	3	0.010	max:    0.021 ms	max at:    548.428858 s	t1	
a.out:2884	1336.366	2	0.005	max:    0.005 ms	max at:    550.791542 s	t1	
a.out:2744	1379.761	3	0.008	max:    0.014 ms	max at:    525.927321 s	t1	
a.out:2753	1310.379	3	0.008	max:    0.013 ms	max at:    528.811337 s	t1	
a.out:2767	1307.859	7	0.003	max:    0.005 ms	max at:    529.803347 s	t1	
a.out:2776	1359.620	4	0.005	max:    0.006 ms	max at:    531.463490 s	t1	
a.out:2786	1298.327	3	0.005	max:    0.007 ms	max at:    533.191398 s	t1	
a.out:2795	1306.747	4	0.007	max:    0.014 ms	max at:    535.819404 s	t1	
a.out:2806	1360.821	15	0.092	max:    0.591 ms	max at:    536.567419 s	t1	
a.out:2816	1349.016	4	0.006	max:    0.008 ms	max at:    538.488179 s	t1	
a.out:2825	1291.229	4	0.006	max:    0.007 ms	max at:    539.988463 s	t1	
a.out:(4)	5890.098	107	0.019	max:    0.142 ms	max at:   1082.975427 s	t4	
a.out:(4)	5895.990	108	0.135	max:    4.004 ms	max at:   1084.735427 s	t4	
a.out:(4)	5905.516	112	0.027	max:    0.340 ms |	 max at:   1087.586417 s	t4	
a.out:(4)	5901.921	96	0.018	max:    0.114 ms |	 max at:   1088.783802 s	t4	
a.out:(3)	4417.366	84	0.043	max:    2.061 ms |	 max at:   1092.073956 s	t4	
a.out:(4)	5912.513	106	0.018	max:    0.155 ms |	 max at:   1092.856107 s	t4	
a.out:(4)	5867.996	94	0.020	max:    0.274 ms |	 max at:   1064.939313 s	t4	
a.out:(4)	5914.763	83	0.020	max:    0.155 ms |	 max at:   1066.394346 s	t4	
a.out:(4)	5851.084	228	0.179	max:    5.894 ms |	 max at:   1069.468272 s	t4	
a.out:(4)	5862.979	387	0.310	max:   11.951 ms |	 max at:   1071.758486 s	t4	
a.out:(4)	5891.022	85	0.100	max:    4.466 ms |	 max at:   1074.026697 s	t4	
a.out:(4)	5878.348	101	0.051	max:    2.944 ms |	 max at:   1076.050836 s	t4	
a.out:(4)	5907.792	89	0.020	max:    0.143 ms |	 max at:   1076.599004 s	t4	
a.out:(4)	5913.676	109	0.060	max:    2.015 ms |	 max at:   1080.073632 s	t4	
a.out:(4)	5900.091	94	0.024	max:    0.271 ms |	 max at:   1081.075518 s	t4	
a.out:(4)	5913.338	107	0.019	max:    0.142 ms |	 max at:   1082.975428 s	t4	
a.out:(4)	5867.203	107	0.120	max:    4.004 ms |	 max at:   1084.735427 s	t4	
a.out:(4)	5892.839	111	0.025	max:    0.340 ms |	 max at:   1087.586415 s	t4	
a.out:(3)	4449.294	52	0.021	max:    0.106 ms |	 max at:   1088.791779 s	t4	
a.out:(4)	5903.915	91	0.042	max:    2.061 ms |	 max at:   1092.073954 s|	t4	
a.out:(4)	5900.087	106	0.018	max:    0.155 ms |	 max at:   1092.856107 s|	t4	
a.out:(4)	5878.660	94	0.020	max:    0.273 ms |	 max at:   1064.939311 s|	t4	
a.out:(4)	5902.871	83	0.020	max:    0.155 ms |	 max at:   1066.394345 s|	t4	
a.out:(4)	5905.434	236	0.173	max:    5.894 ms |	 max at:   1069.468273 s|	t4	
a.out:(4)	5895.758	388	0.309	max:   11.951 ms |	 max at:   1071.758486 s|	t4	
a.out:(4)	5889.825	84	0.049	max:    2.650 ms |	 max at:   1074.018699 s|	t4	
a.out:(4)	5861.300	100	0.022	max:    0.264 ms |	 max at:   1074.939949 s|	t4	
a.out:(4)	5909.551	89	0.020	max:    0.144 ms | 	max at:   1076.599004 s|	t4	
a.out:(4)	5888.237	94	0.025	max:    0.271 ms |	 max at:   1081.075518 s|	t4	
a.out:(4)	5877.621	107	0.019	max:    0.142 ms |	 max at:   1082.975427 s|	t4	
a.out:(4)	5901.499	108	0.135	max:    4.005 ms |	 max at:   1084.735426 s|	t4	
a.out:(4)	5901.356	112	0.027	max:    0.340 ms |	 max at:   1087.586416 s|	t4	
a.out:(4)	5904.955	96	0.018	max:    0.114 ms |	 max at:   1088.783802 s|	t4	
a.out:(4)	5896.664	95	0.041	max:    2.061 ms |	 max at:   1092.073956 s|	t4	
a.out:(4)	5913.869	106	0.018	max:    0.155 ms |	 max at:   1092.856109 s|	t4	
a.out:(4)	5882.476	94	0.020	max:    0.273 ms |	 max at:   1064.939312 s|	t4	
a.out:(4)	5919.037	83	0.020	max:    0.155 ms |	 max at:   1066.394347 s|	t4	
a.out:(4)	5864.836	229	0.178	max:    5.894 ms |	 max at:   1069.468271 s|	t4	
a.out:(3)	4335.458	157	0.736	max:   11.951 ms |	 max at:   1071.758484 s|	t4	
a.out:(4)	5870.542	82	0.017	max:    0.125 ms |	 max at:   1072.546115 s|	t4	
a.out:(4)	5873.400	100	0.022	max:    0.264 ms |	 max at:   1074.939949 s|	t4	
a.out:(4)	5895.862	89	0.020	max:    0.144 ms |	 max at:   1076.599005 s|	t4	
a.out:(4)	5915.580	112	0.073	max:    2.015 ms |	 max at:   1080.073633 s|	t4	
a.out:(4)	5891.945	94	0.025	max:    0.271 ms |	 max at:   1081.075517 s|	t4	
a.out:(4)	5909.503	107	0.019	max:    0.142 ms |	 max at:   1082.975429 s|	t4	
a.out:(4)	5877.212	108	0.135	max:    4.005 ms |	 max at:   1084.735426 s|	t4	
a.out:(4)	5905.516	112	0.027	max:    0.340 ms |	 max at:   1087.586415 s|	t4	
a.out:(3)	4445.995	52	0.021	max:    0.107 ms |	 max at:   1088.791779 s|	t4	
a.out:(4)	5904.693	93	0.042	max:    2.061 ms |	 max at:   1092.073955 s|	t4	
a.out:(4)	5913.149	106	0.018	max:    0.155 ms |	 max at:   1092.856108 s|	t4	
a.out:(4)	5866.795	94	0.020	max:    0.273 ms |	 max at:   1064.939312 s|	t4	
a.out:(4)	5899.900	83	0.020	max:    0.155 ms |	 max at:   1066.394347 s|	t4	
a.out:(4)	5891.749	233	0.175	max:    5.894 ms |	 max at:   1069.468272 s|	t4	
a.out:(4)	5794.047	375	0.319	max:   11.951 ms |	 max at:   1071.758485 s|	t4	
a.out:(4)	5885.580	84	0.049	max:    2.649 ms |	 max at:   1074.018698 s|	t4	
a.out:(4)	5875.560	100	0.022	max:    0.264 ms |	 max at:   1074.939948 s|	t4	
a.out:(4)	5898.310	89	0.020	max:    0.143 ms |	 max at:   1076.599003 s|	t4	
a.out:(4)	5909.022	108	0.060	max:    2.015 ms |	 max at:   1080.073632 s|	t4	
a.out:(4)	5900.733	94	0.025	max:    0.271 ms |	 max at:   1081.075519 s|	t4	
a.out:(8)	9390.654	803	11.65	max:   32.002 ms |	 max at:   1417.085797 s|	t8	
a.out:(8)	11395.760	1000	11.24	max:   31.982 ms |	 max at:   1423.326217 s|	t8	
a.out:(8)	11382.279	1057	10.73	max:   28.011 ms |	 max at:   1424.722323 s|	t8	
a.out:(8)	10393.571	1149	9.162	max:   32.005 ms |	 max at:   1429.118634 s|	t8	
a.out:(8)	11272.250	1028	10.89	max:   24.656 ms |	 max at:   1432.482884 s|	t8	
a.out:(8)	11586.345	1057	10.98	max:   28.006 ms |	 max at:   1439.159289 s|	t8	
a.out:(8)	11329.847	1157	9.778	max:   28.022 ms |	 max at:   1384.859637 s|	t8	
a.out:(8)	11872.534	1100	10.75	max:   40.046 ms |	 max at:   1385.863755 s|	t8	
a.out:(8)	11770.975	1066	11.10	max:   36.004 ms |	 max at:   1392.680147 s|	t8	
a.out:(8)	11615.842	1067	10.85	max:   31.990 ms |	 max at:   1396.440405 s|	t8	
a.out:(8)	11750.571	1082	10.84	max:   23.980 ms |	 max at:   1397.876499 s|	t8	
a.out:(8)	11646.889	1198	9.683	max:   31.983 ms |	 max at:   1403.672891 s|	t8	
a.out:(7)	9966.674	906	10.90	max:   31.980 ms |	 max at:   1405.525015 s|	t8	
a.out:(8)	11148.678	1012	11.00	max:   41.477 ms |	 max at:   1409.221334 s|	t8	
a.out:(7)	10010.078	893	11.47	max:   32.846 ms |	 max at:   1413.265537 s|	t8	
a.out:(8)	11291.634	965	11.51	max:   31.984 ms |	 max at:   1418.373883 s|	t8	
a.out:(8)	11150.806	986	11.22	max:   31.982 ms |	 max at:   1423.326217 s|	t8	
a.out:(7)	10226.757	954	10.71	max:   28.011 ms |	 max at:   1424.722322 s|	t8	
a.out:(8)	11284.606	1231	9.332	max:   32.006 ms |	 max at:   1429.118632 s|	t8	
a.out:(8)	11674.858	1076	10.80	max:   36.005 ms |	 max at:   1435.263027 s|	t8	
