Task|Runtime.ms|Switches|Average.delay.ms|Maximum.delay.ms|Maximum.delay.at|Time|N.Of.Processes
a.out23526|0.534|2|0.005|0.005|10396.752023|1059|1p
a.out23531|0.539|1|0.007|0.007|10397.771314|995|1p
a.out23536|0.509|1|0.004|0.004|10399.134902|1108|1p
a.out23543|0.557|3|0.006|0.007|10400.703334|1047|1p
a.out23548|0.557|1|0.007|0.007|10402.004085|1028|1p
a.out23553|0.568|1|0.004|0.004|10403.402271|1057|1p
a.out23478|0.515|3|0.006|0.007|10384.751537|1084|1p
a.out23483|0.584|1|0.004|0.004|10385.296867|997|1p
a.out23488|0.567|1|0.004|0.004|10386.644878|1036|1p
a.out23493|0.596|2|0.006|0.007|10388.029122|988|1p
a.out23498|0.512|1|0.007|0.007|10389.368152|1014|1p
a.out23503|0.564|1|0.006|0.006|10390.760472|955|1p
a.out23508|0.587|2|0.005|0.006|10392.727495|986|1p
a.out23513|0.505|1|0.006|0.006|10393.422933|1103|1p
a.out23521|0.514|1|0.004|0.004|10394.896047|1096|1p
a.out(4)|2.392|11|12.746|48.031|10421.446640|1153|4p
a.out(4)|1.263|2|1.853|3.698|10421.950714|1107|4p
a.out(4)|2.226|7|0.522|3.619|10423.861961|1103|4p
a.out(4)|2.240|3|1.804|5.310|10425.966836|1115|4p
a.out(4)|1.249|6|1.346|8.047|10427.986912|1113|4p
a.out24100|0.618|1|0.008|0.008|10429.764511|1110|4p
a.out(4)|2.567|4|0.007|0.008|10405.092066|1100|4p
a.out(4)|2.773|4|5.964|23.837|10406.690734|1111|4p
a.out(4)|2.174|7|0.013|0.062|10408.270903|1105|4p
a.out(4)|2.528|4|0.008|0.016|10409.958155|1114|4p
a.out23750|0.630|2|0.036|0.068|10411.677576|1103|4p
a.out(4)|2.320|10|20.430|52.055|10414.446376|1219|4p
a.out(4)|2.680|5|0.006|0.010|10415.193999|1112|4p
a.out(3)|1.333|5|0.045|0.208|10417.040012|1105|4p
a.out(4)|2.529|4|0.033|0.098|10418.613535|1118|4p
a.out(4)|1.637|10|14.020|48.031|10421.446639|1155|4p
a.out(4)|2.699|4|0.929|3.697|10421.950715|1105|4p
a.out(4)|0.674|5|0.006|0.009|10423.919572|1102|4p
a.out(4)|0.681|1|0.095|0.095|10426.028133|1109|4p
a.out(4)|1.249|6|0.005|0.008|10427.982603|1109|4p
a.out(2)|1.256|3|0.007|0.008|10429.764512|1110|4p
a.out23683|0.632|1|0.008|0.008|10405.226210|1111|4p
a.out(4)|1.424|2|11.922|23.837|10406.690733|1114|4p
a.out(4)|2.919|8|0.012|0.062|10408.270904|1106|4p
a.out(3)|1.220|2|0.011|0.016|10409.958153|1103|4p
a.out(4)|2.391|8|0.013|0.068|10411.677577|1103|4p
a.out(4)|2.320|10|20.430|52.055|10414.446374|1215|4p
a.out(4)|0.763|1|0.010|0.010|10415.193996|1313|4p
a.out(4)|2.079|6|0.080|0.244|10417.039334|1112|4p
a.out(4)|2.529|4|0.033|0.099|10418.613537|1108|4p
a.out(3)|0.655|6|15.356|48.031|10421.446639|1157|4p
a.out(4)|1.955|3|1.237|3.698|10421.950714|1107|4p
a.out(4)|2.954|8|0.457|3.619|10423.861962|1107|4p
a.out(4)|2.955|4|1.354|5.310|10425.966837|1111|4p
a.out(4)|2.634|8|1.011|8.047|10427.986914|1109|4p
a.out(4)|2.023|4|0.007|0.008|10429.764512|1322|4p
a.out(4)|2.567|4|0.007|0.008|10405.226212|1106|4p
a.out(4)|0.693|1|0.008|0.008|10406.742350|1113|4p
a.out(4)|2.077|7|0.013|0.062|10408.270903|1118|4p
a.out(4)|0.632|1|0.015|0.015|10409.958152|1115|4p
a.out(2)|1.141|4|0.021|0.068|10411.677577|1107|4p
a.out(3)|1.123|5|30.440|52.042|10414.446360|1212|4p
a.out(3)|1.397|2|0.008|0.010|10415.193997|1115|4p
a.out(3)|1.333|5|0.094|0.245|10417.039333|1105|4p
a.out(4)|2.529|4|0.033|0.099|10418.613537|1118|4p
a.out(4)|3.151|9|0.016|0.068|10420.331177|1113|4p
a.out(3)|0.634|1|3.698|3.698|10421.950713|1107|4p
a.out(4)|1.490|6|0.609|3.620|10423.861961|1107|4p
a.out(4)|1.468|2|0.051|0.095|10426.028133|1116|4p
a.out(4)|1.904|7|1.154|8.047|10427.986913|1112|4p
a.out(4)|2.698|5|0.006|0.008|10429.764513|1313|4p
a.out(2)|1.314|2|0.008|0.008|10405.092064|1106|4p
a.out(4)|2.034|3|7.950|23.837|10406.690734|1111|4p
a.out(3)|0.590|4|0.019|0.062|10408.270902|1118|4p
a.out(3)|1.827|3|0.009|0.015|10409.958154|1106|4p
a.out(4)|2.391|8|0.013|0.068|10411.677578|1111|4p
a.out(4)|1.044|7|29.171|52.051|10414.446370|1215|4p
a.out(4)|2.030|3|0.007|0.010|10415.193998|1315|4p
a.out(4)|2.800|7|0.069|0.244|10417.039334|1108|4p
a.out(4)|2.529|4|0.033|0.098|10418.613536|1112|4p
a.out(4)|3.176|4|0.007|0.008|10462.331188|1102|8p
a.out(6)|4.088|6|0.049|0.232|10465.196652|1105|8p
a.out(8)|6.108|25|64.666|946.824|10469.405552|1160|8p
a.out(5)|3.009|6|48.316|231.062|10472.990403|1110|8p
a.out(5)|1.793|5|0.028|0.079|10476.618246|1119|8p
a.out(4)|2.251|3|7.133|21.366|10478.220988|1107|8p
a.out(5)|4.141|12|1.013|4.041|10433.447151|1112|8p
a.out(5)|3.197|6|0.009|0.014|10436.729305|1113|8p
a.out(5)|3.471|5|30.898|154.455|10439.255991|1111|8p
a.out(3)|2.277|6|13.533|81.164|10444.387675|1102|8p
a.out(5)|3.013|4|0.019|0.053|10446.045068|1112|8p
a.out(5)|2.974|5|0.009|0.012|10450.195809|1115|8p
a.out(4)|2.992|4|29.913|119.623|10452.705827|1108|8p
a.out(4)|0.667|1|0.008|0.008|10457.011730|1116|8p
a.out(4)|2.542|7|0.007|0.014|10460.175921|1108|8p
a.out(4)|2.273|3|0.022|0.053|10462.901806|1102|8p
a.out(2)|1.439|3|0.080|0.232|10465.196651|1101|8p
a.out(7)|2.756|21|84.567|946.824|10469.405550|1291|8p
a.out(6)|3.219|4|228.437|682.672|10473.761722|1116|8p
a.out(3)|0.839|3|0.033|0.079|10476.618246|1126|8p
a.out(6)|3.518|4|179.719|294.124|10479.717066|1092|8p
a.out(5)|2.467|6|1.348|4.042|10433.447150|1116|8p
a.out(7)|3.254|7|0.010|0.014|10436.729306|1103|8p
a.out(6)|3.075|8|0.014|0.030|10440.531419|1115|8p
a.out(4)|3.149|4|0.007|0.009|10442.955372|1110|8p
a.out(3)|2.076|3|0.006|0.008|10447.124427|1059|8p
a.out(3)|1.538|2|55.905|111.803|10450.833310|1118|8p
a.out(4)|1.502|2|413.697|787.808|10454.629728|1116|8p
a.out(2)|1.441|2|0.007|0.008|10457.011731|1115|8p
a.out(3)|1.791|5|0.008|0.014|10460.175919|1109|8p
a.out(7)|3.016|4|13.686|54.629|10463.280343|1117|8p
a.out(3)|2.319|4|0.062|0.232|10465.196651|1109|8p
a.out(5)|2.756|16|43.062|135.999|10469.556560|1245|8p
a.out(3)|1.707|2|0.006|0.013|10473.081258|1120|8p
a.out(5)|3.570|4|0.007|0.008|10474.628206|1093|8p
a.out(4)|3.037|4|5.351|21.366|10478.220988|1104|8p
a.out(3)|2.859|3|0.005|0.008|10436.076366|1129|8p
a.out(4)|1.611|2|0.296|0.583|10438.294944|1119|8p
a.out(6)|3.152|8|0.015|0.031|10440.531418|1113|8p
a.out(4)|1.573|2|0.008|0.009|10442.955370|1314|8p
a.out(4)|1.438|2|0.006|0.006|10447.253249|1120|8p
a.out(5)|3.033|5|22.368|111.803|10450.833311|1105|8p
a.out(7)|2.955|7|5.662|39.586|10453.872506|1114|8p
a.out(6)|2.124|7|0.006|0.009|10455.884583|1110|8p
a.out(4)|2.745|3|0.007|0.008|10458.924408|1106|8p
a.out(5)|1.799|2|27.378|54.630|10463.280341|1117|8p
a.out(3)|2.172|5|31.590|153.524|10466.576413|1109|8p
a.out(6)|3.592|17|89.681|946.824|10469.405551|1153|8p
a.out(6)|3.219|4|228.909|682.672|10473.761723|1108|8p
a.out(5)|2.434|3|49.601|146.393|10475.722696|1105|8p
a.out(3)|2.491|3|7.133|21.366|10478.220987|1109|8p
a.out(4)|0.828|1|0.008|0.008|10433.630930|1138|8p
a.out(4)|2.702|4|38.765|154.455|10439.255992|1099|8p
a.out24543|0.854|1|0.009|0.009|10440.837775|1092|8p
a.out(3)|0.798|1|0.009|0.009|10442.955370|1099|8p
a.out(4)|2.237|3|0.023|0.053|10446.045067|1109|8p
a.out(5)|2.318|3|37.273|111.803|10450.833310|1108|8p
a.out(6)|2.992|7|0.008|0.017|10452.705471|1111|8p
a.out(6)|2.171|7|0.007|0.008|10456.512451|1107|8p
a.out(4)|3.528|4|0.007|0.008|10458.924408|1109|8p
a.out(6)|3.363|4|13.716|54.629|10463.280342|1118|8p
a.out(4)|3.140|6|26.340|153.524|10466.576414|1105|8p
a.out(8)|4.614|23|70.289|946.824|10469.405551|1156|8p
a.out(4)|3.129|6|9.518|56.925|10471.817726|1113|8p
a.out(6)|2.641|3|48.803|146.393|10475.722697|1142|8p
a.out(4)|1.576|6|48.867|293.148|10479.717185|1106|8p
a.out(5)|2.356|6|1.345|4.036|10433.447138|1098|8p
a.out(3)|2.859|4|73.891|295.535|10435.478660|1097|8p
a.out(6)|2.408|6|0.013|0.022|10440.704985|1110|8p
a.out(2)|0.735|3|27.059|81.164|10444.387674|1102|8p
a.out(5)|1.557|2|0.009|0.009|10446.088760|1108|8p
a.out(4)|1.614|3|5.180|15.523|10452.117669|1111|8p
a.out(6)|3.340|6|136.641|787.807|10454.629727|1102|8p
a.out(6)|2.989|4|0.008|0.009|10455.884585|1115|8p
a.out(5)|1.689|2|0.008|0.008|10458.924406|1115|8p
a.out(4)|1.062|2|0.073|0.126|10463.927923|1099|8p
a.out(3)|1.367|3|51.276|153.525|10466.576413|1110|8p
a.out(7)|5.385|22|71.302|946.824|10469.405552|1157|8p
a.out(6)|3.682|6|223.377|682.672|10473.761722|1113|8p
